,Atual,2023,2022,2021,2020,2019,acao
PATRIMÔNIO / ATIVOS,"0,53","0,53","0,48","0,75","0,74","0,80",mils3
PASSIVOS / ATIVOS,"0,47","0,47","0,52","0,25","0,26","0,20",mils3
LIQUIDEZ CORRENTE,"2,62","2,62","2,84","2,61","3,84","1,76",mils3
CAGR RECEITAS 5 ANOS,"25,67%","35,27%","30,26%","13,23%","-2,55%","-11,16%",mils3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,mils3
P/L,"14,18","21,91","14,68","20,13","47,44","26,66",viva3
P/RECEITA (PSR),"2,39","3,70","2,87","4,10","6,64","9,17",viva3
P/VP,"2,71","4,18","3,20","4,31","5,94","6,31",viva3
DIVIDEND YIELD (DY),"1,64%","1,06%","0,24%","1,29%","0,36%","0,58%",viva3
PAYOUT,"23,24%","23,24%","21,54%","12,56%","27,27%","0,00%",viva3
MARGEM LÍQUIDA,"16,88%","16,88%","19,57%","20,36%","14,00%","34,41%",viva3
MARGEM BRUTA,"69,32%","69,32%","68,89%","67,61%","68,49%","71,20%",viva3
MARGEM EBIT,"20,61%","20,61%","20,41%","20,10%","19,58%","39,07%",viva3
MARGEM EBITDA,"26,74%","26,74%","26,59%","24,99%","25,14%","16,28%",viva3
EV/EBITDA,"8,90","13,78","10,62","17,19","27,91","58,58",viva3
EV/EBIT,"11,54","17,88","13,84","21,38","35,83","24,40",viva3
P/EBITDA,"8,95","13,84","10,81","16,39","26,42","56,37",viva3
P/EBIT,"11,61","17,95","14,08","20,39","33,93","23,48",viva3
P/ATIVO,"1,61","2,50","1,81","2,34","3,25","3,66",viva3
P/CAP.GIRO,"3,85","5,94","5,12","6,61","8,35","6,96",viva3
P/ATIVO CIRC LIQ,"-4,42","-6,83","-4,52","-6,13","-9,69","-12,27",viva3
VPA,"8,19","8,19","7,02","5,90","4,96","4,61",viva3
LPA,"1,56","1,56","1,53","1,26","0,62","1,09",viva3
GIRO ATIVOS,"0,67","0,67","0,63","0,57","0,49","0,40",viva3
ROE,"19,10%","19,10%","21,76%","21,43%","12,52%","23,67%",viva3
ROIC,"19,00%","19,00%","18,40%","15,40%","12,05%","17,18%",viva3
ROA,"11,39%","11,39%","12,31%","11,64%","6,85%","13,72%",viva3
DÍVIDA LÍQUIDA / EBITDA,"-0,06","-0,06","-0,18","0,79","1,48","2,22",viva3
DÍVIDA LÍQUIDA / EBIT,"-0,07","-0,07","-0,24","0,99","1,90","0,92",viva3
DÍVIDA BRUTA / PATRIMÔNIO,"0,14","0,14","0,14","0,21","0,33","0,25",viva3
PATRIMÔNIO / ATIVOS,"0,60","0,60","0,57","0,54","0,55","0,58",viva3
PASSIVOS / ATIVOS,"0,40","0,40","0,43","0,46","0,45","0,35",viva3
LIQUIDEZ CORRENTE,"2,96","2,96","2,42","2,35","2,41","3,99",viva3
CAGR RECEITAS 5 ANOS,"23,88%",-%,-%,-%,-%,-%,viva3
CAGR LUCROS 5 ANOS,"7,44%",-%,-%,-%,-%,-%,viva3
P/L,"19,66","19,79","15,56","26,80",,,ggps3
P/RECEITA (PSR),"1,19","1,20","0,87","1,62",,,ggps3
P/VP,"4,24","4,27","3,10","4,89",,,ggps3
DIVIDEND YIELD (DY),"1,66%","1,37%","0,00%","1,18%",,,ggps3
PAYOUT,-,"27,20%","0,00%","31,62%",,,ggps3
MARGEM LÍQUIDA,"6,04%","6,04%","5,60%","6,04%",,,ggps3
MARGEM BRUTA,"17,28%","17,28%","16,54%","16,86%",,,ggps3
MARGEM EBIT,"10,80%","10,80%","10,10%","9,21%",,,ggps3
MARGEM EBITDA,"12,15%","12,15%","4,05%","0,00%",,,ggps3
EV/EBITDA,"10,38","10,44","31,32",-,,,ggps3
EV/EBIT,"11,68","11,75","12,54","20,96",,,ggps3
P/EBITDA,"9,78","9,85","21,55",-,,,ggps3
P/EBIT,"11,00","11,08","8,63","17,58",,,ggps3
P/ATIVO,"1,26","1,27","0,89","1,62",,,ggps3
P/CAP.GIRO,"4,18","4,21","2,48","5,58",,,ggps3
P/ATIVO CIRC LIQ,"-2,78","-2,80","-2,12","-3,38",,,ggps3
VPA,"4,42","4,42","3,84","3,25",,,ggps3
LPA,"0,95","0,95","0,77","0,59",,,ggps3
GIRO ATIVOS,"1,06","1,06","1,02","1,00",,,ggps3
ROE,"21,55%","21,55%","19,95%","18,23%",,,ggps3
ROIC,"14,62%","14,62%","10,82%","10,33%",,,ggps3
ROA,"6,45%","6,45%","5,75%","6,05%",,,ggps3
DÍVIDA LÍQUIDA / EBITDA,"0,60","0,60","9,77",-,,,ggps3
DÍVIDA LÍQUIDA / EBIT,"0,67","0,67","3,91","3,39",,,ggps3
DÍVIDA BRUTA / PATRIMÔNIO,"1,02","1,02","1,41","0,94",,,ggps3
PATRIMÔNIO / ATIVOS,"0,30","0,30","0,29","0,33",,,ggps3
PASSIVOS / ATIVOS,"0,70","0,70","0,71","0,67",,,ggps3
LIQUIDEZ CORRENTE,"2,23","2,23","2,65","2,27",,,ggps3
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,,,ggps3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,,,ggps3
P/L,"5,59","5,35","6,34","19,16","0,00","0,00",soja3
P/RECEITA (PSR),"0,96","0,91","0,69","1,78","0,00","0,00",soja3
P/VP,"1,96","1,88","1,48","2,85","0,00","0,00",soja3
DIVIDEND YIELD (DY),"5,67%","5,92%","1,05%","0,00%","0,00%","0,00%",soja3
PAYOUT,"31,68%","4,81%","6,66%","0,00%","0,00%","0,00%",soja3
MARGEM LÍQUIDA,"17,09%","17,09%","10,85%","9,28%","4,57%","6,59%",soja3
MARGEM BRUTA,"14,81%","14,81%","13,27%","16,35%","20,66%","9,74%",soja3
MARGEM EBIT,"12,20%","12,20%","10,69%","13,70%","17,57%","10,86%",soja3
MARGEM EBITDA,"12,32%","12,32%","5,56%","13,88%","17,86%","11,25%",soja3
EV/EBITDA,"7,14","6,81","11,98","11,70","0,79","2,44",soja3
EV/EBIT,"7,21","6,88","6,23","11,86","0,80","2,52",soja3
P/EBITDA,"7,75","7,42","12,37","12,82","0,00","0,00",soja3
P/EBIT,"7,83","7,50","6,43","12,99","0,00","0,00",soja3
P/ATIVO,"0,84","0,81","0,84","1,95","0,00","0,00",soja3
P/CAP.GIRO,"1,64","1,57","1,83","3,67","0,00","0,00",soja3
P/ATIVO CIRC LIQ,"-2,45","-2,35","-2,49","-8,54","0,00","0,00",soja3
VPA,"8,64","8,64","7,02","5,57","0,93","0,24",soja3
LPA,"3,03","3,03","1,64","0,83","0,23","0,23",soja3
GIRO ATIVOS,"0,88","0,88","1,22","1,09","1,88","1,99",soja3
ROE,"35,07%","35,07%","23,39%","14,85%","24,70%","94,59%",soja3
ROIC,"10,25%","10,25%","16,31%","16,92%","37,13%","26,77%",soja3
ROA,"14,63%","14,63%","13,26%","13,38%","22,45%","13,14%",soja3
DÍVIDA LÍQUIDA / EBITDA,"-0,61","-0,61","-0,39","-1,11","0,79","2,44",soja3
DÍVIDA LÍQUIDA / EBIT,"-0,62","-0,62","-0,20","-1,13","0,80","2,52",soja3
DÍVIDA BRUTA / PATRIMÔNIO,"0,57","0,57","0,34","0,23","1,07","3,93",soja3
PATRIMÔNIO / ATIVOS,"0,43","0,43","0,57","0,68","0,35","0,14",soja3
PASSIVOS / ATIVOS,"0,38","0,38","0,34","0,32","1,19","0,80",soja3
LIQUIDEZ CORRENTE,"4,58","4,58","3,28","3,19","0,68","1,20",soja3
CAGR RECEITAS 5 ANOS,"38,74%",-%,-%,-%,-%,-%,soja3
CAGR LUCROS 5 ANOS,"66,86%",-%,-%,-%,-%,-%,soja3
P/L,"11,21","13,24","20,77","25,14","0,00","0,00",intb3
P/RECEITA (PSR),"1,49","1,76","2,36","2,97","0,00","0,00",intb3
P/VP,"2,35","2,77","4,47","4,82","0,00","0,00",intb3
DIVIDEND YIELD (DY),"3,37%","2,43%","2,30%","0,59%","0,00%","0,00%",intb3
PAYOUT,"37,52%","34,40%","34,41%","14,79%","0,00%","0,00%",intb3
MARGEM LÍQUIDA,"13,26%","13,26%","11,35%","11,80%","15,37%","11,15%",intb3
MARGEM BRUTA,"31,12%","31,12%","28,39%","29,45%","32,84%","34,93%",intb3
MARGEM EBIT,"12,70%","12,70%","10,95%","11,75%","18,10%","10,83%",intb3
MARGEM EBITDA,"14,63%","14,63%","11,93%","12,62%","18,92%","11,67%",intb3
EV/EBITDA,"9,53","11,37","18,84","24,69","1,24","1,35",intb3
EV/EBIT,"10,98","13,10","20,53","26,52","1,30","1,45",intb3
P/EBITDA,"10,16","12,00","19,76","23,52","0,00","0,00",intb3
P/EBIT,"11,71","13,83","21,53","25,27","0,00","0,00",intb3
P/ATIVO,"1,25","1,47","2,00","2,58","0,00","0,00",intb3
P/CAP.GIRO,"2,72","3,21","4,81","5,43","0,00","0,00",intb3
P/ATIVO CIRC LIQ,"-4,79","-5,65","-8,56","-15,26","0,00","0,00",intb3
VPA,"7,94","7,94","6,81","5,81","2,95","2,19",intb3
LPA,"1,66","1,66","1,47","1,11","1,00","0,58",intb3
GIRO ATIVOS,"0,84","0,84","0,85","0,87","0,87","1,06",intb3
ROE,"20,93%","20,93%","21,53%","19,16%","33,89%","26,36%",intb3
ROIC,"13,96%","13,96%","13,65%","15,09%","25,53%","18,56%",intb3
ROA,"11,16%","11,16%","9,61%","10,22%","13,43%","11,83%",intb3
DÍVIDA LÍQUIDA / EBITDA,"-0,63","-0,63","-0,92","1,17","1,24","1,35",intb3
DÍVIDA LÍQUIDA / EBIT,"-0,73","-0,73","-1,00","1,25","1,30","1,45",intb3
DÍVIDA BRUTA / PATRIMÔNIO,"0,36","0,36","0,49","0,24","0,52","0,37",intb3
PATRIMÔNIO / ATIVOS,"0,53","0,53","0,45","0,54","0,40","0,45",intb3
PASSIVOS / ATIVOS,"0,46","0,46","0,55","0,46","0,60","0,55",intb3
LIQUIDEZ CORRENTE,"2,64","2,64","2,19","2,33","1,89","1,96",intb3
CAGR RECEITAS 5 ANOS,"19,30%",-%,-%,-%,-%,-%,intb3
CAGR LUCROS 5 ANOS,"23,57%",-%,-%,-%,-%,-%,intb3
P/L,"5,55","4,00","4,39","7,72","3,78","87,79",posi3
P/RECEITA (PSR),"0,35","0,25","0,27","0,46","0,33","0,75",posi3
P/VP,"0,86","0,62","0,95","1,32","0,70","2,72",posi3
DIVIDEND YIELD (DY),"5,32%","7,39%","3,62%","3,13%","0,63%","0,00%",posi3
PAYOUT,"29,55%","29,55%","15,92%","24,14%","2,38%","0,00%",posi3
MARGEM LÍQUIDA,"6,28%","6,28%","6,07%","5,95%","8,71%","0,86%",posi3
MARGEM BRUTA,"27,06%","27,06%","23,97%","22,84%","20,47%","25,07%",posi3
MARGEM EBIT,"12,95%","12,95%","12,52%","9,01%","12,67%","5,16%",posi3
MARGEM EBITDA,"14,38%","14,38%","13,68%","10,14%","14,72%","6,87%",posi3
EV/EBITDA,"3,83","3,15","4,19","7,17","4,60","16,40",posi3
EV/EBIT,"4,26","3,50","4,58","8,07","5,35","21,82",posi3
P/EBITDA,"2,43","1,75","1,95","4,53","2,24","10,98",posi3
P/EBIT,"2,69","1,94","2,13","5,10","2,60","14,62",posi3
P/ATIVO,"0,30","0,22","0,32","0,41","0,26","0,74",posi3
P/CAP.GIRO,"0,83","0,60","0,80","1,31","0,86","4,93",posi3
P/ATIVO CIRC LIQ,"-1,36","-0,98","-1,73","-2,44","-1,18","-3,05",posi3
VPA,"11,19","11,19","9,85","8,29","7,24","3,75",posi3
LPA,"1,74","1,74","2,14","1,41","1,35","0,12",posi3
GIRO ATIVOS,"0,86","0,86","1,19","0,90","0,78","0,98",posi3
ROE,"15,54%","15,54%","21,71%","17,04%","18,59%","3,09%",posi3
ROIC,"16,99%","16,99%","21,33%","14,35%","11,23%","7,35%",posi3
ROA,"5,48%","5,48%","7,29%","6,48%","6,93%","1,07%",posi3
DÍVIDA LÍQUIDA / EBITDA,"1,41","1,41","2,24","2,64","2,36","5,41",posi3
DÍVIDA LÍQUIDA / EBIT,"1,56","1,56","2,45","2,97","2,75","7,20",posi3
DÍVIDA BRUTA / PATRIMÔNIO,"0,87","0,87","1,10","0,77","0,74","1,34",posi3
PATRIMÔNIO / ATIVOS,"0,35","0,35","0,33","0,31","0,36","0,27",posi3
PASSIVOS / ATIVOS,"0,65","0,65","0,67","0,69","0,63","0,73",posi3
LIQUIDEZ CORRENTE,"1,85","1,85","1,93","1,61","1,61","1,25",posi3
CAGR RECEITAS 5 ANOS,"15,44%","15,01%","21,15%","14,02%","3,53%","-3,86%",posi3
CAGR LUCROS 5 ANOS,"64,46%",-%,-%,"94,06%",-%,"-2,17%",posi3
P/L,"5,15","5,92","4,57","9,76","7,72","9,83",sapr4
P/RECEITA (PSR),"1,23","1,41","0,93","1,12","1,60","2,25",sapr4
P/VP,"0,79","0,91","0,60","0,75","1,11","1,72",sapr4
DIVIDEND YIELD (DY),"6,03%","5,24%","8,83%","5,75%","3,97%","4,16%",sapr4
PAYOUT,"28,78%","28,78%","29,84%","49,47%","99,49%","39,24%",sapr4
MARGEM LÍQUIDA,"23,89%","23,89%","20,30%","11,51%","20,76%","22,87%",sapr4
MARGEM BRUTA,"60,03%","60,03%","57,99%","60,27%","59,97%","60,64%",sapr4
MARGEM EBIT,"37,30%","37,30%","31,52%","36,10%","32,72%","34,60%",sapr4
MARGEM EBITDA,"44,93%","44,93%","39,22%","43,74%","40,30%","41,84%",sapr4
EV/EBITDA,"4,28","4,69","4,07","3,93","5,65","5,49",sapr4
EV/EBIT,"5,15","5,65","5,06","4,76","6,96","6,63",sapr4
P/EBITDA,"2,74","3,15","2,36","2,57","3,98","5,37",sapr4
P/EBIT,"3,30","3,79","2,94","3,11","4,90","6,50",sapr4
P/ATIVO,"0,41","0,47","0,32","0,40","0,58","0,89",sapr4
P/CAP.GIRO,"9,59","11,03","6,26","8,67","25,02","-88,02",sapr4
P/ATIVO CIRC LIQ,"-0,48","-0,56","-0,37","-0,47","-0,67","-0,99",sapr4
VPA,"6,45","6,45","5,81","5,18","4,59","12,26",sapr4
LPA,"0,99","0,99","0,76","0,40","0,66","2,14",sapr4
GIRO ATIVOS,"0,33","0,33","0,34","0,36","0,36","0,40",sapr4
ROE,"15,43%","15,43%","13,11%","7,66%","14,35%","17,49%",sapr4
ROIC,"11,77%","11,77%","10,05%","12,16%","11,34%","13,62%",sapr4
ROA,"7,99%","7,99%","6,91%","8,04%","7,55%","9,05%",sapr4
DÍVIDA LÍQUIDA / EBITDA,"1,59","1,59","1,74","1,38","1,43","1,42",sapr4
DÍVIDA LÍQUIDA / EBIT,"1,91","1,91","2,17","1,67","1,77","1,72",sapr4
DÍVIDA BRUTA / PATRIMÔNIO,"0,59","0,59","0,58","0,53","0,53","0,50",sapr4
PATRIMÔNIO / ATIVOS,"0,52","0,52","0,53","0,53","0,53","0,52",sapr4
PASSIVOS / ATIVOS,"0,48","0,48","0,47","0,47","0,47","0,48",sapr4
LIQUIDEZ CORRENTE,"1,41","1,41","1,52","1,48","1,21","0,91",sapr4
CAGR RECEITAS 5 ANOS,"5,91%","8,62%","7,96%","8,40%","10,07%","12,53%",sapr4
CAGR LUCROS 5 ANOS,"6,84%","10,99%","10,91%","13,44%","17,84%","20,70%",sapr4
P/L,"17,13","17,32","-6,15","-20,75","0,00",,opct3
P/RECEITA (PSR),"0,76","0,77","0,48","0,68","0,00",,opct3
P/VP,"1,59","1,61","0,75","0,67","0,00",,opct3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%",,opct3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%",,opct3
MARGEM LÍQUIDA,"4,45%","4,45%","-7,74%","-3,28%","-3,55%",,opct3
MARGEM BRUTA,"22,78%","22,78%","15,62%","17,79%","19,48%",,opct3
MARGEM EBIT,"16,69%","16,69%","2,21%","3,53%","11,06%",,opct3
MARGEM EBITDA,"31,72%","31,72%","20,13%","21,66%","23,52%",,opct3
EV/EBITDA,"4,17","4,19","6,64","6,91","4,22",,opct3
EV/EBIT,"7,92","7,97","60,31","42,39","8,98",,opct3
P/EBITDA,"2,40","2,43","2,37","3,14","0,00",,opct3
P/EBIT,"4,56","4,61","21,50","19,27","0,00",,opct3
P/ATIVO,"0,53","0,53","0,25","0,24","0,00",,opct3
P/CAP.GIRO,"9,63","9,74","-4,65","1,33","0,00",,opct3
P/ATIVO CIRC LIQ,"-0,74","-0,75","-0,33","-0,36","0,00",,opct3
VPA,"3,94","3,94","3,82","4,49","0,79",,opct3
LPA,"0,37","0,37","-0,46","-0,14","-0,11",,opct3
GIRO ATIVOS,"0,69","0,69","0,53","0,36","0,57",,opct3
ROE,"9,30%","9,30%","-12,18%","-3,22%","-14,43%",,opct3
ROIC,"11,38%","11,38%","0,09%","1,04%","6,40%",,opct3
ROA,"3,08%","3,08%","-4,09%","-1,91%","-2,03%",,opct3
DÍVIDA LÍQUIDA / EBITDA,"1,77","1,77","4,27","3,77","4,22",,opct3
DÍVIDA LÍQUIDA / EBIT,"3,36","3,36","38,82","23,12","8,98",,opct3
DÍVIDA BRUTA / PATRIMÔNIO,"1,50","1,50","1,56","1,40","5,09",,opct3
PATRIMÔNIO / ATIVOS,"0,33","0,33","0,34","0,36","0,14",,opct3
PASSIVOS / ATIVOS,"0,67","0,67","0,66","0,64","0,86",,opct3
LIQUIDEZ CORRENTE,"1,23","1,23","0,81","2,20","1,29",,opct3
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,-%,,opct3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,,opct3
P/L,"-2,05","-3,70","-8,25","15,43","-35,47","-393,73",gfsa3
P/RECEITA (PSR),"0,36","0,65","0,60","1,53","3,07","13,51",gfsa3
P/VP,"0,23","0,42","387,32","1,12","1,74","6,05",gfsa3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",gfsa3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",gfsa3
MARGEM LÍQUIDA,"-17,70%","-17,70%","-7,32%","9,93%","-8,66%","-3,43%",gfsa3
MARGEM BRUTA,"-4,21%","-4,21%","13,47%","25,50%","20,44%","29,41%",gfsa3
MARGEM EBIT,"-3,36%","-3,36%","-11,54%","25,74%","0,41%","2,56%",gfsa3
MARGEM EBITDA,"-1,88%","-1,88%","-8,16%","23,87%","1,61%","7,35%",gfsa3
EV/EBITDA,"-97,37","-112,90","-23,92","11,32","213,30","194,50",gfsa3
EV/EBIT,"-54,61","-63,31","-16,90","10,50","842,53","559,20",gfsa3
P/EBITDA,"-19,26","-34,78","-7,41","6,42","190,88","183,76",gfsa3
P/EBIT,"-10,80","-19,51","-5,23","5,95","753,97","528,31",gfsa3
P/ATIVO,"0,08","0,14","0,13","0,27","0,72","2,12",gfsa3
P/CAP.GIRO,"0,27","0,49","0,33","0,81","2,52","9,88",gfsa3
P/ATIVO CIRC LIQ,"-0,25","-0,45","-0,45","-0,69","-2,25","-7,20",gfsa3
VPA,"24,61","24,61","0,03","1,79","2,50","1,43",gfsa3
LPA,"-2,82","-2,82","-1,20","0,13","-0,12","-0,02",gfsa3
GIRO ATIVOS,"0,22","0,22","0,21","0,17","0,24","0,16",gfsa3
ROE,"-11,45%","-11,45%","-4.693,96%","7,28%","-4,90%","-1,54%",gfsa3
ROIC,"-2,34%","-2,34%","-9,25%","4,68%","-0,16%","-1,54%",gfsa3
ROA,"-3,81%","-3,81%","-1,52%","1,72%","-2,05%","-0,55%",gfsa3
DÍVIDA LÍQUIDA / EBITDA,"-78,11","-78,11","-16,51","4,90","22,42","10,75",gfsa3
DÍVIDA LÍQUIDA / EBIT,"-43,81","-43,81","-11,67","4,54","88,56","30,89",gfsa3
DÍVIDA BRUTA / PATRIMÔNIO,"1,07","1,07","1.123,03","1,41","0,60","0,82",gfsa3
PATRIMÔNIO / ATIVOS,"0,33","0,33","0,000323","0,24","0,42","0,35",gfsa3
PASSIVOS / ATIVOS,"0,67","0,67","0,68","0,62","0,58","0,65",gfsa3
LIQUIDEZ CORRENTE,"1,73","1,73","2,10","2,13","1,73","1,44",gfsa3
CAGR RECEITAS 5 ANOS,"22,47%","2,81%","13,29%","-2,22%","-17,38%","-28,55%",gfsa3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,gfsa3
P/L,"-7,76","-13,66","-12,03","-443,56","-655,90","-258,99",rcsl4
P/RECEITA (PSR),"1,12","1,97","2,06","12,14","31,60","48,02",rcsl4
P/VP,"135,41","238,33","-27,61","-17,64","-13,94","-13,36",rcsl4
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",rcsl4
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",rcsl4
MARGEM LÍQUIDA,"-14,45%","-14,45%","-17,14%","-2,74%","-4,82%","-18,54%",rcsl4
MARGEM BRUTA,"11,17%","11,17%","12,18%","13,48%","19,74%","23,47%",rcsl4
MARGEM EBIT,"-4,05%","-4,05%","9,60%","1,41%","2,32%","1,29%",rcsl4
MARGEM EBITDA,"-1,70%","-1,70%","11,14%","2,88%","5,90%","-1,71%",rcsl4
EV/EBITDA,"-110,70","-182,34","29,70","842,78","1.408,88","-2.800,06",rcsl4
EV/EBIT,"-46,54","-76,66","34,46","1.726,79","3.583,92","3.733,41",rcsl4
P/EBITDA,"-65,82","-115,84","18,51","421,08","535,16","-2.800,36",rcsl4
P/EBIT,"-27,67","-48,70","21,48","862,77","1.361,34","3.733,82",rcsl4
P/ATIVO,"1,05","1,85","2,63","10,92","20,46","23,08",rcsl4
P/CAP.GIRO,"8,90","15,66","21,65","162,11","-159,79","-14,36",rcsl4
P/ATIVO CIRC LIQ,"-1,95","-3,43","-5,32","-22,60","-36,06","-38,61",rcsl4
VPA,-,"0,003692","-0,02","-0,08","-0,13","-0,13",rcsl4
LPA,"-0,06","-0,06","-0,05","-0,00","-0,00","-0,01",rcsl4
GIRO ATIVOS,"0,94","0,94","1,27","0,90","0,65","0,48",rcsl4
ROE,"-1.744,26%","-1.744,26%","-229,53%","-3,98%","-2,12%","-5,16%",rcsl4
ROIC,"-489,36%","-489,36%","-127,15%","-2,05%","-1,03%","-0,36%",rcsl4
ROA,"-8,54%","-8,54%","-21,84%","-2,46%","-3,11%","-8,94%",rcsl4
DÍVIDA LÍQUIDA / EBITDA,"0,55","0,55","-0,19","-2,63","-0,67","0,30",rcsl4
DÍVIDA LÍQUIDA / EBIT,"0,23","0,23","-0,22","-5,38","-1,69","-0,40",rcsl4
DÍVIDA BRUTA / PATRIMÔNIO,-,"0,00","0,00","-0,00","-0,00","-0,00",rcsl4
PATRIMÔNIO / ATIVOS,"0,01","0,007752","-0,10","-0,62","-1,47","-1,73",rcsl4
PASSIVOS / ATIVOS,"0,99","0,99","1,10","1,62","2,47","4,02",rcsl4
LIQUIDEZ CORRENTE,"1,34","1,34","1,32","1,15","0,77","0,20",rcsl4
CAGR RECEITAS 5 ANOS,"24,91%",-%,-%,-%,-%,"55,45%",rcsl4
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,rcsl4
P/L,"5,01","5,40","4,71","4,15","8,19","6,59",brsr6
P/RECEITA (PSR),"0,34","0,37","0,30","0,50","0,72","0,98",brsr6
P/VP,"0,51","0,55","0,42","0,46","0,71","1,14",brsr6
DIVIDEND YIELD (DY),"5,43%","6,87%","9,09%","8,90%","4,51%","3,91%",brsr6
PAYOUT,"27,21%","37,10%","42,80%","81,37%","29,78%","33,50%",brsr6
MARGEM LÍQUIDA,"6,79%","6,79%","6,47%","12,14%","8,84%","14,82%",brsr6
MARGEM BRUTA,"31,00%","31,00%","30,36%","58,44%","63,68%","47,16%",brsr6
MARGEM EBIT,"7,90%","7,90%","5,84%","13,65%","11,43%","15,74%",brsr6
MARGEM EBITDA,-,"0,00%","0,00%","0,00%","6,61%","19,13%",brsr6
EV/EBITDA,-,-,-,-,"11,41","5,23",brsr6
EV/EBIT,"4,31","4,73","5,50","4,02","6,60","6,36",brsr6
P/EBITDA,-,-,-,-,"10,95","5,10",brsr6
P/EBIT,"4,31","4,64","5,22","3,69","6,34","6,20",brsr6
P/ATIVO,"0,04","0,04","0,03","0,04","0,06","0,11",brsr6
P/CAP.GIRO,"1,05","1,13","2,48","2,63","1,49","0,11",brsr6
P/ATIVO CIRC LIQ,"-0,04","-0,05","-0,04","-0,04","-0,07","-3,10",brsr6
VPA,"24,11","24,11","23,26","22,10","20,39","19,04",brsr6
LPA,"2,47","2,47","2,06","2,43","1,78","3,29",brsr6
GIRO ATIVOS,"0,12","0,12","0,11","0,08","0,09","0,11",brsr6
ROE,"10,26%","10,26%","8,85%","11,01%","8,72%","17,26%",brsr6
ROIC,"10,27%","10,27%","7,13%","11,88%","10,11%","17,68%",brsr6
ROA,"0,81%","0,81%","0,74%","0,96%","0,79%","1,66%",brsr6
PATRIMÔNIO / ATIVOS,"0,08","0,08","0,08","0,09","0,09","0,10",brsr6
PASSIVOS / ATIVOS,"0,92","0,92","0,92","0,93","0,93","0,34",brsr6
LIQUIDEZ CORRENTE,"1,73","1,73","1,87","1,33","2,34",-,brsr6
CAGR RECEITAS 5 ANOS,"10,43%","12,01%","6,91%","-4,75%","-3,18%","4,07%",brsr6
CAGR LUCROS 5 ANOS,"-5,51%","-0,70%","-4,37%","8,57%","-3,04%","14,22%",brsr6
P/L,"17,25","25,31","26,63","35,15","0,00","0,00",matd3
P/RECEITA (PSR),"0,99","1,46","1,56","5,04","0,00","0,00",matd3
P/VP,"1,31","1,93","1,70","3,25","0,00","0,00",matd3
DIVIDEND YIELD (DY),"1,13%","0,77%","1,25%","0,00%","0,00%","0,00%",matd3
PAYOUT,"19,50%","19,50%","33,25%","0,00%","0,00%","0,00%",matd3
MARGEM LÍQUIDA,"5,77%","5,77%","5,87%","14,33%","11,17%","19,13%",matd3
MARGEM BRUTA,"32,54%","32,54%","35,35%","39,51%","40,78%","45,90%",matd3
MARGEM EBIT,"19,36%","19,36%","19,17%","23,65%","0,00%","0,00%",matd3
MARGEM EBITDA,"24,02%","24,02%","24,29%","27,62%","0,00%","0,00%",matd3
EV/EBITDA,"5,92","7,85","9,25","22,17",-,-,matd3
EV/EBIT,"7,34","9,75","11,72","25,89",-,-,matd3
P/EBITDA,"4,14","6,07","6,44","18,24",-,-,matd3
P/EBIT,"5,14","7,54","8,16","21,30",-,-,matd3
P/ATIVO,"0,42","0,62","0,56","1,26","0,00","0,00",matd3
P/CAP.GIRO,"2,82","4,13","3,85","3,68","0,00","0,00",matd3
P/ATIVO CIRC LIQ,"-0,56","-0,82","-0,73","-2,20","0,00","0,00",matd3
VPA,"4,33","4,33","4,23","4,15","0,64","2,09",matd3
LPA,"0,33","0,33","0,27","0,38","0,21","0,37",matd3
GIRO ATIVOS,"0,42","0,42","0,36","0,25","0,60","0,55",matd3
ROE,"7,62%","7,62%","6,40%","9,25%","32,48%","17,54%",matd3
ROIC,"12,24%","12,24%","9,74%","6,25%","-5,73%","-7,29%",matd3
ROA,"2,73%","2,73%","2,49%","3,59%","6,76%","10,61%",matd3
DÍVIDA LÍQUIDA / EBITDA,"1,78","1,78","2,81","3,93",-,-,matd3
DÍVIDA LÍQUIDA / EBIT,"2,21","2,21","3,56","4,59",-,-,matd3
DÍVIDA BRUTA / PATRIMÔNIO,"0,76","0,76","0,74","0,70","0,98","0,24",matd3
PATRIMÔNIO / ATIVOS,"0,32","0,32","0,33","0,39","0,21","0,60",matd3
PASSIVOS / ATIVOS,"0,66","0,66","0,65","0,59","0,78","0,36",matd3
LIQUIDEZ CORRENTE,"2,59","2,59","2,62","5,05","1,30","2,95",matd3
